Date,AAP,AMZN,APTV,AZO,BBY,BKNG,BWA,KMX,CCL,CMG,DHI,DRI,DG,DLTR,DPZ,EBAY,EXPE,F,GPS,GRMN,GM,GPC,HRB,HBI,HOG,HAS,HLT,HD,KSS,LB,LVS,LEG,LEN,LKQ,LOW,MAR,MCD,MGM,MHK,NWL,NKE,JWN,NCLH,NVR,ORLY,PHM,PVH,RL,ROST,RCL,SBUX,TPR,TGT,TIF,TJX,TSCO,ULTA,UAA,UA,VFC,WHR,WYNN,YUM
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-02,-0.0029341654248746796,0.012486153010419665,0.0,0.00997286585300694,0.010907903052754131,0.01911558585483686,0.0042825131861494725,0.01605503813134823,0.0018497086068200996,0.019566064274142425,0.0533334970146071,0.0030414737412829407,0.025053833860257058,0.01670220950903456,0.016128749552685395,0.02418237747337404,0.0052551417409434364,0.014054649833029398,0.007318606698820673,-0.010194946527124604,0.0,0.007377594933282827,-0.000861143919943963,-0.012380011527455936,0.02580818005319041,0.014362175788549703,0.0,0.026049988071009,-0.007939792084663333,0.026496764545279383,0.03832278735490191,0.018518560827843533,0.073488938109465,0.00965513032058185,0.0344504781869337,0.013625087688258652,0.006677163882402359,0.021062453824794547,0.040633270629594875,0.002250029386702268,0.008015218523388379,0.015269085778128133,0.0,0.012051007799130264,-0.008326163820101873,0.03594315817469429,0.003246462316280452,0.005598166143776506,0.023493854083361798,0.01120987427749598,0.0024300351532693387,-0.007182946707479543,0.008788603379137783,0.011593262753014422,0.010686931425629487,0.01689277469188344,0.013153595330855694,0.006451596495925749,0.0,0.0007207449582304903,0.025906705743130587,0.030294402688199273,0.01485971941628117
2010-11-03,0.005730309539715206,0.023449368787067604,0.0,4.199548974859191e-05,0.0028149938271582187,-0.0031480684156077743,0.007640516723123936,0.013866504417993974,0.005306752805809722,0.019097627815308993,-0.012658264729491275,0.013211951782600373,-0.003142777395263696,0.004966612107142554,-0.0019839169322327654,0.0013301324346559618,-0.0003485246406921272,0.05197508768531045,-0.0005192377234951584,-0.05301409411849545,0.0,-0.0033478077936397455,0.004310335982285141,-0.009704920543298856,0.016242029438247707,-0.003592618002787429,0.0,-0.001586602424187511,-0.009174156296066438,0.0003352458374201728,0.017128949355545986,0.0009828454418954191,-0.011516420531429872,0.0013661515435454685,0.0,0.0021087414325189346,0.001275140661981533,0.10403565693726247,-0.007775508547314125,0.002805850154291356,0.0009785176905763304,0.0020395632594092383,0.0,0.0007374088233393916,0.005947177951329374,-0.07682757476576663,-0.007119443652085833,-0.0038144760209719575,-0.008198043437658398,0.0319982054874306,0.0076176599005035595,0.014871670865434616,0.0003705947862764347,-0.0036968919365427677,0.01035841248792968,-0.0015099810810332848,0.027913057048745138,-0.007905960211891716,0.0,-0.0026403065306294105,0.003108007494424303,-0.012703104832577194,0.005935328875985135
2010-11-04,0.01339715522049234,0.002730405720574147,0.0,0.00521010711413461,0.021754348919360122,0.00034212712480208296,0.031916837648878094,0.01812970031149108,0.022722011620404547,0.016140767681535273,0.0778389943046005,0.02330084107743957,-0.007005042003399131,-0.008173356779835772,-0.0019880090415838048,0.0013287517751709998,-0.05265017095166291,0.04479605230344608,0.060747512464932374,0.019193736584215193,0.0,-0.000629842704305883,0.009442160987117143,0.012658247267684164,0.04669400099000276,0.0025451410962391563,0.0,0.015257376362910025,0.02285268897297099,0.05328398321889938,0.04270273933598312,0.010309167037557021,0.023300923482849623,0.020918644684364995,0.01733617464791859,0.029721315354936495,0.008662501380759524,0.0008124224573828887,0.027597937152116003,0.0016787571805483292,0.019308432023881217,0.06664932653407263,0.0,0.0277794735177197,0.011997956208388505,0.040268522794983275,0.028356992567968087,0.02794177258917796,0.05190938938132961,0.0312497826971041,0.02233681958076117,0.03762373273524133,0.014637728889474344,0.03654902275621219,0.0010676751961948838,0.035290788161257636,0.005999342527794216,0.044367894890178894,0.0,0.005053437021258711,0.030209182704391102,0.012416595678732989,0.012588978617866342
2010-11-05,-0.0027352247661063256,0.010892154599279058,0.0,0.0026332954754986204,0.02449629125331998,0.023019046912547747,0.012645198221201914,0.010621686048611023,0.0031415495207411936,0.03455082530357201,0.017841975377595798,0.006684662256083218,-0.012345571859690985,0.015331529942156585,0.0059759072824605575,0.023880547733592827,0.004785033085601853,0.022067814228304616,0.018600740008445804,-0.021656993086446974,0.0,0.013445220563918392,0.03911556242351244,0.01975773606896558,0.006886332823343944,-0.00021165563843605906,0.0,-0.0006262173520777958,0.026579227854536702,0.012090612361176811,-0.0005767163001207942,-0.0038869747931072895,0.0025303543901398218,0.006236052779096113,-0.0004486164324370989,0.010217128502137962,0.0015155904041082024,-0.01704546617854974,-0.0537134927082491,-0.024022495095673335,0.00839218368484107,0.013593923399087382,0.0,-0.0005948041912794411,0.0039518821172042085,0.014193253779714032,0.019334454260228062,0.002919278689435867,0.009744074763587296,0.015151684879408878,0.037646761629276826,0.009923666988319146,0.0071221624561195185,0.019330738117405044,0.0046936526711547355,0.015096437135099894,0.013810418537999247,0.03650230113009911,0.0,0.017239355248426014,0.003383525344749616,0.0048881785494026,-0.0029142245635191966
2010-11-08,0.0051806063634083355,0.0071441189329517485,0.0,0.01242344206023871,0.0017879429384566325,-0.0007457724909696317,-0.0023625772806405987,0.016383388531474807,-0.01677885259445766,-0.002862611333701248,0.0033387665885915574,-0.0033202907531063586,0.013571209705046883,-0.0054737810123262065,0.021122213993000294,-0.0009718216185177209,0.026373436271491357,0.012338338587245756,-0.0048058478952051065,-0.02181584406070536,0.0,-0.002487406989738261,0.010638447811722074,0.0027683991280413878,-0.0359799066535994,0.0012696626240162878,0.0,-0.01347113022529478,-0.0009379451601864153,0.008802074667382476,0.01577498606620109,-0.005365858990885708,0.017665267362872106,-0.0070827731886393686,-0.00897265908054068,-0.002022898302751708,0.00012631393635387234,0.06688685728302035,-0.02014718796405579,0.004579476122001047,-0.0059444785161132385,0.006353606525715927,0.0,0.002319803490669514,0.004792037957118911,0.011450490889572285,0.010727700308038823,0.014555247582253683,-0.006381431178895114,0.00023323161635091516,-0.0077741460316664845,0.0018896227094415963,-0.004533065604862885,0.00035130265290161944,-0.00946415430518921,0.0035980395570918144,0.02260055345661982,0.029844808000268896,0.0,-0.007532164069365188,-0.019982561883628347,0.030688764553712833,0.007013768362546857
2010-11-09,0.0006060758268464639,-0.010000588207269345,0.0,0.0006176400770623314,-0.015168330783077888,0.08253128939324461,-0.023849681754616547,-0.01551101337174332,-0.01319656940812608,-0.011135265883244982,-0.022462506784980185,-0.013741625843211036,0.007047217359471114,0.0015183494617541093,0.005171377960581314,-0.010051975683088243,-0.023911151779202888,-0.020719233878941812,-0.02510855903126974,-0.015742840783394607,0.0,-0.013508057135178442,-0.008097374852773953,-0.006309284109591862,-0.02066619789271229,-0.013736607508856413,0.0,-0.0006352425123623551,-0.018028263519467513,-0.022436404365606566,-0.013067962940414124,-0.006866284218210894,-0.01177925266163038,-0.006241613363515253,-0.019918282428649903,-0.023308681118125785,-0.0026482275511348075,0.006192051526865194,-0.030931513191431725,-0.010256490058014212,-0.004903810333036551,-0.020341542279722846,0.0,-0.018455065974811613,-0.007153775770648796,-0.02515705478526209,0.007998482290368703,-0.0014836821400694422,-0.01488099622744754,-0.013989455719140231,-0.015017933132306704,-0.014522867363996106,-0.008014777442477139,-0.0022818910967697947,-0.01237803861068254,-0.011472183696582317,-0.012715579232641439,-0.009659969401351165,0.0,-0.015415704383526796,-0.025742503877413614,-0.022910214630010306,-0.019926795700062172
2010-11-10,0.010755612113746205,0.017971442308166274,0.0,0.0244855841491447,0.00747423423647553,-0.003756059895853592,0.016461547375882013,0.03954286797128459,0.0029977850602485034,0.04051203863036301,0.02553187054630035,0.01794416499890139,0.016794892748530188,0.01667616184350007,-0.03279761810067272,0.013101748807025526,0.004021708582019334,0.03484744025635367,-0.003467087351234577,-0.0006666691171819394,0.0,0.0006320739100187378,0.000816267744050192,-0.019841103394314774,0.016692838832113033,-0.0025707716908861533,0.0,0.006673101830934947,-0.0005738054196895437,0.013706924584736324,-0.040491564422060145,0.006913756032143059,0.025094109624301808,0.01211298965120089,0.009699456397005646,0.016602029992386136,0.005056926019083807,0.029230661288800253,0.0,-0.004030000703876269,0.008172775619746053,0.011694119691556981,0.0,-0.005460601877232851,0.014753827360508343,0.019354698294288264,-0.03631894548484449,0.07292882419913504,0.01923983234146509,-0.00638434906785923,0.00994320258203163,0.008995229932929005,0.0022037718226608494,0.01460216709781581,0.003957800211199514,0.007750057206724614,0.011959419545153116,0.011509952631817422,0.0,-0.03131358858614208,0.015565925898950894,0.0033367937421082683,0.014410229843770939
2010-11-11,-0.005694884136940859,-0.017077290039795412,0.0,0.012612972195783057,-0.0017982346992621023,0.0011931180739765956,0.0032390631097960476,0.0026745957951495036,-0.015632251169378164,0.0051151614435336334,0.009958560670816796,0.022604571466961376,0.02133531305116243,0.012674749037011157,-0.0006647735654116138,-0.004526170391199291,-0.005098320346168417,-0.0012024446341193373,0.020378055404529194,-0.021340383909895122,0.0,0.002105329854833693,0.0440458199055771,0.008096934439330905,0.0015489413171922983,0.015037377967286103,0.0,0.0006312808823449867,0.002870148060487132,0.010691603367253721,0.013000131557121541,0.0004905603262677083,0.006120077383973577,0.011081560546019054,0.020128377602320446,-0.0015313152982067146,0.002515773516056141,-0.007473850459345677,-0.006457606713867081,0.004046307325245024,-0.0025034063043651855,0.00023635949247924337,0.0,0.004632688980817035,0.02045645060454082,-0.0037973473289387716,-0.010451327335378346,-0.016438445628261578,0.0074883661794751255,0.0009519108459565828,0.008861235660750477,-0.00037977074103612285,-0.005130485916751026,-0.010924213870099675,0.0019713091517588044,0.0031240880415710492,-0.007575780599614723,0.0023144214100976335,0.0,0.00534593025282426,-0.019449104113231863,0.0027133531640053388,0.00992390577478175
2010-11-12,-0.02728386937177396,-0.027528335832728512,0.0,-0.005593255117586904,-0.018243580673938053,-0.011058976016967703,-0.020730783342943093,-0.021932473078063675,-0.006538653533516459,-0.015730107338421395,-0.05423148134173206,-0.013384738261240314,-0.022237266805064326,-0.014356756261846737,-0.025282817249912104,-0.02111079450425557,-0.024158434599979905,-0.01866350999661115,-0.0019486470860136107,0.010562082313405607,0.0,-0.010504210067800668,0.0039060777874617703,-0.010441692169354533,-0.0194864623142027,-0.009100508339845992,0.0,-0.008201701600486277,-0.01888928839121118,-0.01555681060779679,-0.044027785149558074,-0.013725699470243047,-0.023722711560588694,-0.011398519726843581,-0.027354415192404224,-0.015078229417228917,-0.010664624048619231,-0.027108420690742374,-0.015041737818860201,-0.005181315092627425,-0.012549160593995468,-0.023585288726292286,0.0,-0.011163560023384478,-0.01209409434815567,-0.04828478787291002,-0.04752757659283091,-0.02619728286253209,-0.01068416328355315,-0.019495887313212057,-0.017891877671799228,-0.02163138084324434,-0.0020256481718756714,-0.024193498497374066,0.0008744369775832705,-0.025395182921849724,-0.023511418733212275,-0.02732349336710993,0.0,-0.01855074632678466,-0.0262703552551089,-0.031075381224924703,-0.02138753532697668
