Date,APA,BKR,COG,CVX,CXO,COP,DVN,FANG,EOG,XOM,HAL,HES,HFC,KMI,MRO,MPC,NOV,NBL,OXY,OKE,PSX,PXD,SLB,FTI,VLO,WMB
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-02,0.0209902286989474,0.018813080480406086,0.012599831622628344,0.00859432505644464,0.021440657671453867,0.006615888736920317,0.009029593844087858,0.0,0.01738316379853111,0.013293598252667183,-0.0006364396870964795,0.018408900360462166,-0.019455450983027145,0.0,-0.052972953709175874,0.0,0.021171148815515295,0.0196783225703967,0.021044570642641203,0.009424371623327099,0.0,0.022253780661602107,0.01852662367061919,0.020193618050888373,0.010100705399479715,0.018413562269362194
2010-11-03,-0.005236767945338117,0.0004060606148683643,0.016044323727642196,0.006695499641072411,0.0055977261922508514,0.0011796811295601284,0.03473361854588153,0.0,-0.09310402230119519,0.0019160103322655164,0.009235547200471483,0.017769778219244747,0.030219280800654946,0.0,-0.016066084586728535,0.0,0.004506944479588437,0.013229461006553977,0.0025765321359985105,0.0005959475105210554,0.0,0.010884284440253467,0.010353561798960964,0.013150589545671387,0.00777797678180181,-0.006490383389630261
2010-11-04,0.05078974704620154,0.02920871581820217,0.026748409318428035,0.02950386068448152,0.07111051892833142,0.030971873214750145,0.020228496390454653,0.0,-0.003948460672928089,0.020744374692333922,0.036604485980748835,0.04229369890116863,-0.028443802141496444,0.0,0.0229812047186988,0.0,0.04558480408665044,0.024542979883118043,0.03389631819487482,0.009331130607073135,0.0,0.025487056857663726,0.04971655671166819,0.03586252990878602,0.043550131321977714,0.03733078152820335
2010-11-05,0.008349557924990147,-0.015766337114908602,0.01098542981551831,-0.001879434448096462,-0.0006497766373922964,0.009142800217536884,0.016954239939752203,0.0,0.003624334487674963,0.008936160895316014,-0.028310499018145308,0.010541477335076932,-0.016468683371006265,0.0,0.0026601130625940606,0.0,0.008753778494370978,0.005519274845088518,-0.003077446065235745,0.0055074474953302754,0.0,0.014354015243811524,-0.0018469952261710443,0.00839682244173523,0.011093520760204534,0.0049481882589268444
2010-11-08,0.007544222436325798,0.007608819362537211,0.014023254773696037,-0.0021180068789200535,0.01053058506027682,0.009707033270195176,0.011019812671588136,0.0,0.009592447978042262,0.004572059209481338,0.04730595052142661,0.007001783752720758,0.02077510868148913,0.0,0.00029507806564121886,0.0,-0.008167214642234355,-0.003620197052237595,0.0004753785909832331,0.0,0.0,0.006551555995842895,-0.010837953869861194,0.00602107240236216,0.0031350993608372235,0.011638441752271245
2010-11-09,0.00420076091987176,-0.016096927804094885,0.039950667343310764,-0.014622248604080568,0.0023156662998891075,-0.006089174651221052,-0.010200540064422503,0.0,0.02828081160738094,0.01073227298026147,-0.006281968391532611,-0.011494172115736112,0.004252771505745212,0.0,-0.009431428969176703,0.0,0.0006862678834436142,-0.0011721289670110213,-0.003085825575934731,-0.008020520174574108,0.0,0.001692191793527975,-0.0122928787803529,-0.016299439817760275,-0.0031253012309456762,0.015486585691009802
2010-11-10,0.0025460854663255095,0.01555232409051932,0.026004876107976305,0.019267078117832348,0.0024386838729528737,0.019023638274689336,0.01510637018514216,0.0,0.0205454228773696,0.007079131584850185,0.04996992945557688,0.026844619653096924,0.009074196113525224,0.0,0.012496321058736104,0.0,0.013028985948582816,-0.008800347517061491,0.007023438701938556,0.007887964536906766,0.0,0.009227171161597214,0.00987540017686861,0.01734604637243975,0.020898725503590843,-0.010457457496093059
2010-11-11,0.004172155933234611,-0.004176604952179641,0.015552924151597258,0.010802367028457383,0.02496798619783247,-0.005063005174048785,0.011960798045825838,0.0,0.002450161883905011,0.009841163294284305,0.04099764428838837,0.005173128777255398,0.034772469323411936,0.0,0.003232383949122397,0.0,0.007954417378837064,0.011837765142080237,0.037470137601818276,0.003521739421907366,0.0,0.004764111095457713,0.0049566580674613725,0.006616813332339433,0.021494258040261505,0.03963036920615148
2010-11-12,-0.010839117462899561,-0.030956820157272635,-0.025240758108089234,-0.007550453487046749,-0.04809496129023638,-0.007473487274966217,-0.003848138050961958,0.0,-0.021888969871233233,-0.011694024084692223,-0.013494643058629796,-0.02559142079020882,-0.02752062739269734,0.0,-0.011716200052071968,0.0,-0.03206877796902452,-0.03767355105555381,-0.00353178271887411,0.012088455908347617,0.0,-0.013200151733562038,-0.01213009250514141,-0.030337343851514542,0.0005007647198753684,-0.023719094051646405
2010-11-15,-0.01716719301675962,-0.012571898606275722,-0.0032009087979428807,-0.006788198926767075,-0.013648285578153896,-0.005606846931586307,-0.014486591716527886,0.0,0.004127623454221574,-0.007184238334759119,0.0005581355699446622,-0.007565020770491038,0.009830722636268385,0.0,0.01047735319591836,0.0,-0.0027752943476831993,-0.007295273007037362,0.0033150889746225154,0.0005779231698961329,0.0,0.0014287836452029357,0.0025639513330648622,0.011601921232017087,-0.019848774775803935,-0.009544315797985647
2010-11-16,-0.02201976237291825,-0.010853696570496285,-0.02276709559533019,-0.019729293693915628,0.006386260668609811,-0.01820512641309535,-0.013859960249734904,0.0,-0.01493020486887564,-0.021850242937433206,-0.022600703594563343,-0.02516881498988477,-0.011209561844273241,0.0,-0.010692062619687581,0.0,0.0024353196871691463,-0.009185129514005852,-0.029401390389999227,-0.028494458777772902,0.0,-0.009985986611113051,-0.015073925759745421,-0.01494810890568965,-0.038934392493490844,-0.005694451482225471
